frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,L_shoulder_wrist_px,R_shoulder_wrist_px,L_wf_over_sw,R_wf_over_sw,L_label,R_label
0,0.0,39.47025344175524,32.76095711656301,308.99755859375,366.3089904785156,180.74408058984375,191.81898598535156,1.7095860488783996,1.9096597169296325,,
1,0.03333333333333333,39.00628548819554,32.44189603811085,310.1091613769531,363.6384582519531,179.38792519433593,190.9120645986328,1.7287069965328115,1.9047432073842716,,
2,0.06666666666666667,40.05456009035755,31.98246811983306,315.6800231933594,359.4326171875,184.62860207421875,189.15553383691406,1.7098110457796747,1.9001961502083005,,
3,0.1,37.01024394094524,30.766387656595906,301.82330322265625,351.14697265625,174.90872292382812,182.89747719628906,1.7256046363913982,1.9199115156705653,,
4,0.13333333333333333,36.736612259279816,29.327436030249558,282.20965576171875,356.7027282714844,165.28970436914062,174.42959694726562,1.7073637879553674,2.0449667631768045,,
5,0.16666666666666666,35.82798077627883,28.214669604449995,265.1496887207031,362.3768310546875,158.65556435449218,169.28176979882812,1.671228423657841,2.1406725100129247,,
6,0.2,36.09864213715961,27.432247333831743,259.2052307128906,368.3715515136719,157.80609230859375,166.90280251367187,1.6425552836452495,2.2071022533219398,,
7,0.23333333333333334,33.44102557821828,27.446117821796115,269.9590759277344,377.004150390625,152.67018227441406,169.35504250390625,1.7682501710943246,2.226117066351474,,
8,0.26666666666666666,25.432155747441556,27.68371818800976,285.62493896484375,386.1658630371094,148.7917032705078,173.2317667470703,1.9196294731942747,2.229186195398773,,
9,0.3,21.195009190929593,27.810981867771844,293.9761047363281,395.275634765625,147.32711891992187,178.36094765527343,1.9953970924804127,2.2161557222133217,,
10,0.3333333333333333,23.02623638127706,28.328472265976746,299.76275634765625,399.8414001464844,157.25587563378906,184.30569558007812,1.906210214019165,2.1694467926671273,,
11,0.36666666666666664,28.365799021262447,29.451146395647665,306.68829345703125,403.33209228515625,176.06999306542968,190.33055214746093,1.7418544075426996,2.1191137614767688,,
12,0.4,59.60093756427719,31.61530922605989,318.3266906738281,418.7553405761719,206.08827309472656,201.31219582421875,1.5446133149338013,2.080129019812687,,
13,0.43333333333333335,81.69645964777675,51.351574593802546,314.0323791503906,537.7909545898438,229.90264992578125,293.7094431386719,1.3659363180536142,1.8310305206493867,,
14,0.4666666666666667,97.50829182086977,79.92827885967215,320.1533508300781,616.5377197265625,263.4621897207031,362.1784372792969,1.2151775978536936,1.7023037714724976,,
15,0.5,124.61633973277688,99.00354990445557,370.8410949707031,654.4270629882812,335.2068796621094,402.7133493886719,1.1063051430940596,1.625044374569943,,
16,0.5333333333333333,139.32621801000948,78.56742796615531,426.5468444824219,601.3162231445312,398.720459984375,360.3833322988281,1.0697892064508987,1.668546154198726,,
17,0.5666666666666667,143.98523642194593,62.563195717369375,450.1029357910156,550.60888671875,424.4050608144531,320.18145851953125,1.0605503500058342,1.7196776142649826,,
18,0.6,142.73960688531054,52.95238568536006,436.6006164550781,511.4258728027344,414.2768259511719,292.18133644921875,1.0538861676673592,1.7503714611546395,,
19,0.6333333333333333,131.34738239825083,47.65988279566792,386.72869873046875,482.47796630859375,372.0705881582031,271.3197336660156,1.0393960475210502,1.7782634524568197,,
20,0.6666666666666666,103.34743615131521,44.465720752471746,319.57159423828125,464.30291748046875,309.1889963613281,255.46518044335937,1.0335801014885397,1.8174802400650916,,
21,0.7,93.95760964323806,46.426494446153384,283.01678466796875,379.48236083984375,273.99481301171875,239.29387001855468,1.0329275271932397,1.585842382048562,,
22,0.7333333333333333,83.61513961445503,57.13134897438907,254.15927124023438,285.7611999511719,246.02276711328125,249.82009987695312,1.033072159225031,1.1438679277284785,,
23,0.7666666666666667,80.78033354135805,86.72497540728028,234.83792114257812,209.76458740234375,228.9739542470703,308.4884043203125,1.0256097551129348,0.6799755986436984,,HOOK-R
24,0.8,84.16811745142074,119.56933774325435,228.19500732421875,212.93971252441406,225.29388527734375,384.69659523828125,1.0128770563093785,0.5535263767866703,,HOOK-R
25,0.8333333333333334,89.62132557718888,136.78211777268626,226.8488311767578,237.5170440673828,230.4173593984375,432.34649758203125,0.9845127631399118,0.5493673370681522,,
26,0.8666666666666667,91.12865420022747,137.42603177546835,222.62013244628906,233.23574829101562,225.84660439355468,437.320069359375,0.9857138788695567,0.5333296243016697,,
27,0.9,85.83118271222095,121.85223983938373,214.13232421875,218.02854919433594,211.79437355859375,422.67901711328125,1.0110387760584654,0.5158253435038688,,
28,0.9333333333333333,70.71376536117513,102.20097782989399,211.257080078125,210.57029724121094,195.91180519921875,408.6659250722656,1.0783274640509894,0.5152626737939434,,HOOK-R
29,0.9666666666666667,64.66519786812988,83.58520039403315,214.00942993164062,206.4354705810547,190.72959999902343,366.47705178125,1.1220567228827427,0.5632971275491376,,HOOK-R
30,1.0,54.22379152294356,68.08747257787292,218.56492614746094,229.01602172851562,172.8889933095703,314.8927317128906,1.264192254021079,0.7272826542637552,,
31,1.0333333333333334,71.1364385904549,58.71831119573665,202.9321746826172,263.5843811035156,182.0943155751953,287.96881203515625,1.1144344294416866,0.9153226672037537,,
32,1.0666666666666667,107.92055701929408,51.473610208844406,200.33139038085938,290.3477478027344,227.02177529199218,264.06207375390625,0.8824324896728342,1.0995435416951438,,
33,1.1,133.57687787797877,46.172918128416654,194.5480499267578,305.80682373046875,228.03109841210937,245.02909951074218,0.8531645520347435,1.2480428828293597,,
