frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span_ema,R_wrist_mouth_span_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg,L_waist_block,R_waist_block
0,0.0,,0,0,0.3988009822632531,0.7602167886358612,0.0,0.0,91.71954416115884,34.66981461945486,0,0
1,0.03333333333333333,,0,0,0.44595723598877696,0.791968790935921,0.047156253725523845,0.03175200230005981,71.26004139846341,52.650910089172925,0,0
2,0.06666666666666667,,0,0,0.48524919957746004,0.7975448789536363,0.03929196358868309,0.005576088017715364,65.65485952701276,24.36237062131376,0,0
3,0.1,,0,0,0.5336369007546451,0.8123768127093756,0.04838770117718505,0.014831933755739213,74.12159389377952,27.143332851171827,0,0
4,0.13333333333333333,,0,0,0.6008624420877788,0.891228912265259,0.06722554133313374,0.07885209955588346,91.3147338357515,101.89979702106105,0,0
5,0.16666666666666666,,0,0,0.6834352212288279,0.9417042637326525,0.0825727791410491,0.05047535146739346,102.9283891626044,111.36166500108712,0,0
6,0.2,,0,0,0.7527788413885985,0.9912270108232895,0.06934362015977058,0.049522747090636976,83.72478812774426,97.9881922249801,0,0
7,0.23333333333333334,,0,0,0.8260182754097352,1.0111303839880144,0.07323943402113664,0.019903373164724902,73.81411818573966,85.30788008828641,0,0
8,0.26666666666666666,,0,0,0.9261535592993191,1.0716762238443156,0.10013528388958393,0.06054583985630124,81.71962385137009,90.05622737358249,0,0
9,0.3,,0,0,1.0243949585123149,1.2294936103084062,0.0982413992129958,0.1578173864640906,70.63687794568075,78.5329594018238,0,0
10,0.3333333333333333,,0,0,1.1428087473555038,1.487011132878287,0.11841378884318887,0.2575175225698807,94.84976993505538,122.08962474868517,0,0
11,0.36666666666666664,ElbowBent(R);GuardAway(L),0,1,1.935993891303685,2.2150605374249497,0.7931851439481812,0.7280494045466628,132.5441410905594,137.41679456226288,0,0
12,0.4,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.6569523113935043,3.1797611799750616,0.7209584200898194,0.9647006425501119,133.25186129995467,149.54059511990425,0,0
13,0.43333333333333335,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,2.736270505258817,3.5326710442313765,0.07931819386531291,0.3529098642563149,136.92818574580144,157.65881360538484,0,0
14,0.4666666666666667,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,2.452772760371344,3.35467126423418,-0.28349774488747315,-0.1779997799971964,142.6195844201001,161.05320837294036,0,0
15,0.5,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,2.17020516853416,3.148562256710734,-0.28256759183718394,-0.20610900752344596,121.76045183514907,157.10421719037416,0,0
16,0.5333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.8678015842969,2.853290249394419,-0.3024035842372601,-0.29527200731631487,89.00864142585078,126.95250822877013,0,0
17,0.5666666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.514855172119092,2.418614828943375,-0.3529464121778081,-0.4346754204510441,72.28357313088175,77.99344080592677,0,0
18,0.6,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.2588639617123747,2.030883701538017,-0.25599121040671724,-0.3877311274053583,56.71297369185003,70.8971444052466,0,0
19,0.6333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0707948119198514,1.7571260089597036,-0.18806914979252332,-0.27375769257831317,50.21637241834073,72.94895522794316,0,0
20,0.6666666666666666,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.949629341773575,1.6279552618724968,-0.12116547014627632,-0.12917074708720677,45.671620900045475,166.31980570022063,0,0
21,0.7,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.8459453904319038,1.512750084116456,-0.1036839513416713,-0.11520517775604078,46.30706835322333,167.01769766763493,0,0
22,0.7333333333333333,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.7660354919259995,1.4286394407840075,-0.07990989850590424,-0.08411064333244855,46.43848819329966,155.77447621696746,0,0
23,0.7666666666666667,ElbowBent(R);GuardAway(L),0,1,0.7062479075976302,1.268812955705089,-0.05978758432836928,-0.1598264850789186,43.76435567892875,46.33834643338942,0,0
24,0.8,ElbowBent(R);GuardAway(L),0,1,0.661726858480864,1.1330516163954454,-0.04452104911676624,-0.13576133930964351,45.220414364064396,41.41052048724461,0,0
25,0.8333333333333334,ElbowBent(R);GuardAway(L),0,1,0.622046615936273,0.955767474303614,-0.039680242544591016,-0.1772841420918314,46.656760066723024,14.136447869192315,0,0
26,0.8666666666666667,ElbowBent(R);GuardAway(L),0,1,0.5923174397947925,0.8307271896740231,-0.029729176141480518,-0.12504028462959083,47.97892040522982,20.67789830610928,0,0
27,0.9,ElbowBent(R);GuardAway(L),0,1,0.5693259463660776,0.7696278527620678,-0.02299149342871487,-0.06109933691195535,49.90224240263847,33.86609644046621,0,0
28,0.9333333333333333,,0,0,0.5529773717255486,0.7342935195960265,-0.016348574640528968,-0.03533433316604129,50.095681932197415,37.18350026209606,0,0
29,0.9666666666666667,,0,0,0.5398790499297667,0.7064989773752872,-0.013098321795781964,-0.027794542220739293,50.83309732694833,38.19295752496505,0,0
30,1.0,,0,0,0.5536644603503497,0.6894972112949344,0.01378541042058301,-0.017001766080352865,53.1235519218944,33.75183965097276,0,0
31,1.0333333333333334,,0,0,0.6715462513180809,0.6842212356364559,0.11788179096773121,-0.005275975658478482,65.6666627123797,39.33118875048164,0,0
32,1.0666666666666667,,0,0,0.7903250072370681,0.6761239156307525,0.11877875591898723,-0.008097320005703401,78.5328034636528,50.06365223396514,0,0
33,1.1,,0,0,0.952522060520435,0.6989068468134415,0.16219705328336687,0.022782931182689037,94.29950283014949,61.84322036019716,0,0
34,1.1333333333333333,,0,0,1.1863583213584987,0.7545216851359653,0.23383626083806375,0.055614838322523785,113.36849146715008,71.67990684815322,0,0
35,1.1666666666666667,,0,0,1.4742332673966554,0.8206166651081716,0.28787494603815666,0.06609497997220626,113.21234174156153,75.63741672099603,0,0
36,1.2,ElbowBent(L);GuardAway(R),1,0,1.8444467293429159,0.8578362059752054,0.3702134619462605,0.03721954086703383,125.43571476194748,78.88549805469711,0,0
37,1.2333333333333334,ElbowBent(L);GuardAway(R),1,0,2.312657086798779,0.7980320428791405,0.46821035745586315,-0.059804163096064844,122.93595087836982,101.04377540654406,0,0
38,1.2666666666666666,ElbowBent(L);GuardAway(R),1,0,3.0235287733546263,0.7221472713941118,0.7108716865558473,-0.0758847714850287,122.95214730797922,88.94156154107648,0,0
39,1.3,ElbowBent(L);GuardAway(R),1,0,3.8649354278289874,2.0524674393794906,0.841406654474361,1.3303201679853789,109.09442227357795,160.55776416190554,0,0
40,1.3333333333333333,ElbowBent(L);GuardAway(R),1,0,3.7043254755698705,4.256771446581781,-0.1606099522591169,2.2043040072022904,20.59807825264797,178.09823389053176,0,0
41,1.3666666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,3.0097703130476856,4.344578652480887,-0.6945551625221849,0.0878072058991064,60.659637185753546,67.12053516855316,0,0
42,1.4,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.7374411656045345,3.332787151426165,-0.27232914744315107,-1.0117915010547223,46.973330124105836,129.4800215107049,0,0
43,1.4333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.762317072460001,2.847115193330142,0.02487590685546648,-0.4856719580960229,120.99618710838664,148.05039267003846,0,0
44,1.4666666666666666,ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.854605337668849,2.461052694194877,0.09228826520884814,-0.386062499135265,153.14989317337012,143.8968712870691,0,0
45,1.5,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.8367547133114153,2.2939976686156758,-0.017850624357433897,-0.16705502557920138,142.54831463874936,113.68677285835003,0,0
46,1.5333333333333334,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.5313363843156487,2.222818927796047,-0.3054183289957666,-0.07117874081962894,98.25017094068976,97.79835415916523,0,0
47,1.5666666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.520474177272975,2.2989310665801685,-0.0108622070426736,0.07611213878412171,100.74835392813908,98.02814743879439,0,0
48,1.6,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.913780944813418,1.8894842441948776,-0.6066932324595571,-0.40944682238529095,76.52226341808014,53.82435527169775,0,0
49,1.6333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.5525712843233672,1.5508446330414956,-0.36120966049005077,-0.33863961115338204,56.3994979536094,37.922810937250205,0,0
50,1.6666666666666667,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,1.4112739637945064,1.4953619441037014,-0.1412973205288608,-0.05548268893779418,30.642627588184737,152.2778348021356,0,0
51,1.7,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,1.2666158223619453,1.466360894544225,-0.14465814143256117,-0.029001049559476355,25.824968446663245,163.900943375702,0,0
52,1.7333333333333334,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,1.1608548675607038,1.4436323573409562,-0.10576095480124148,-0.02272853720326884,23.047036204493402,170.3793905279552,0,0
53,1.7666666666666666,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,1.0689408954990578,1.4263645974419619,-0.09191397206164598,-0.017267759898994317,23.76073610164197,155.1992360067262,0,0
54,1.8,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0008991980371706,1.413122562830381,-0.06804169746188715,-0.01324203461158091,18.152675835319645,146.24549891502207,0,0
55,1.8333333333333333,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.9631424824261682,1.4092061553231514,-0.03775671561100247,-0.003916407507229547,22.8093680861334,150.11963366215605,0,0
56,1.8666666666666667,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.926742218180195,1.3943059160858955,-0.0364002642459732,-0.014900239237255919,29.42684392190808,175.36451402044588,0,0
57,1.9,ElbowBent(L);GuardAway(L);GuardAway(R),1,1,0.8823479020258755,1.3638818684341791,-0.044394316154319435,-0.030424047651716357,38.82955970828064,174.92035956309616,0,0
58,1.9333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,0.8541318669972777,1.3419990563944992,-0.02821603502859782,-0.0218828120396799,44.89149132512465,142.68865474309848,0,0
59,1.9666666666666666,ElbowBent(R);GuardAway(L),0,1,0.847487991455962,1.2785810728288483,-0.006643875541315736,-0.06341798356565098,47.242454886138525,111.48786677988117,0,0
60,2.0,ElbowBent(R);GuardAway(L),0,1,0.837265339759577,1.244095676902326,-0.010222651696385032,-0.03448539592652233,51.791204759848654,113.49377644552322,0,0
61,2.033333333333333,ElbowBent(R);GuardAway(L),0,1,0.8209968890978087,1.1747507610218537,-0.016268450661768297,-0.0693449158804722,56.03207183694894,96.03749746225816,0,0
62,2.066666666666667,ElbowBent(R);GuardAway(L),0,1,0.7971827590068816,1.1080223980238353,-0.023814130090927033,-0.06672836299801843,56.58918471810777,76.47261358490486,0,0
63,2.1,ElbowBent(R);GuardAway(L),0,1,0.7599995127271368,1.0373916646638328,-0.037183246279744786,-0.07063073336000247,57.48018725738958,56.064884329575655,0,0
64,2.1333333333333333,ElbowBent(R);GuardAway(L),0,1,0.7257210772415288,0.9861467735649911,-0.03427843548560805,-0.05124489109884167,56.50297329398754,53.413651692158595,0,0
65,2.1666666666666665,ElbowBent(R);GuardAway(L),0,1,0.6935401894546893,0.9424123900476143,-0.032180887786839474,-0.043734383517376796,55.30771560834717,55.93546287902695,0,0
66,2.2,ElbowBent(R);GuardAway(L),0,1,0.679486037211757,0.8943793595785557,-0.014054152242932272,-0.0480330304690586,54.16281248900601,35.938279157264546,0,0
67,2.2333333333333334,ElbowBent(R);GuardAway(L),0,1,0.7301347186940701,0.8828297899667099,0.05064868148231305,-0.011549569611845834,64.32827065156012,60.78213656572802,0,0
68,2.2666666666666666,,0,0,0.8429354140498186,0.8771794632230207,0.11280069535574855,-0.00565032674368926,72.2894831064377,64.68670535281855,0,0
69,2.3,,0,0,1.0932379881611918,0.9471444437076131,0.25030257411137313,0.06996498048459243,98.77848438349349,104.59737944774086,0,0
70,2.3333333333333335,,0,0,1.4467224603343187,1.0699802940663536,0.35348447217312695,0.12283585035874056,127.4157456375298,122.80038738169887,0,0
71,2.3666666666666667,,0,0,1.8236302615216993,1.2056797268263952,0.37690780118738054,0.1356994327600416,121.84537252648624,130.40615488243384,0,0
72,2.4,ElbowBent(L);GuardAway(R),1,0,2.4108323431002496,1.4954057332400414,0.5872020815785504,0.2897260064136462,112.65072051811875,133.23191833274342,0,0
73,2.433333333333333,ElbowBent(L);GuardAway(R),1,0,4.294032348948706,2.3025535799416135,1.8832000058484564,0.807147846701572,93.21276615367701,124.8261146776734,0,0
74,2.466666666666667,ElbowBent(L);GuardAway(R),1,0,4.152722017758182,2.412240452593608,-0.14131033119052372,0.10968687265199462,60.039016334050324,76.18730943049727,0,0
75,2.5,ElbowBent(L);GuardAway(R),1,0,4.227265918575411,2.675789243415644,0.07454390081722906,0.26354879082203597,66.5645902602416,72.94853193235424,0,0
76,2.533333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,5.677190104717942,3.8954631952801138,1.449924186142531,1.2196739518644697,73.74180691439487,98.39312765401581,0,0
77,2.566666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,6.353709624509325,6.057097591297126,0.6765195197913831,2.161634396017012,84.92285576525325,106.47685242991119,0,0
78,2.6,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,8.300157874612808,9.114029484544266,1.946448250103482,3.0569318932471408,102.405744324148,121.19655835428883,0,0
79,2.6333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,7.747315692508611,9.787151690753856,-0.5528421821041967,0.6731222062095892,98.41929692865587,143.78500635945284,0,0
80,2.6666666666666665,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,6.989637807289113,10.462183112101512,-0.7576778852194979,0.675031421347656,90.29953685588931,147.39948128234266,0,0
81,2.7,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,6.093206908623686,9.76283753328044,-0.896430898665427,-0.6993455788210721,85.7162743213746,123.0224082634776,0,0
82,2.7333333333333334,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,4.771389839611528,7.944941780281307,-1.321817069012158,-1.8178957529991324,75.54035623757007,92.64220469281211,0,0
83,2.7666666666666666,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,3.7696782430048703,6.318841541691789,-1.0017115966066577,-1.626100238589518,51.65339459881227,52.53007896351026,0,0
84,2.8,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,2.9996810707943733,4.927595811614563,-0.769997172210497,-1.3912457300772259,49.36713781252504,15.741220749902656,0,0
