frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span_ema,R_wrist_mouth_span_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg,L_waist_block,R_waist_block
0,0.0,,0,0,2.19680488918129,1.9067680177525672,0.0,0.0,161.0415473480313,167.0143840820823,1,0
1,0.03333333333333333,,0,0,2.198966723227829,1.91340977849826,0.002161834046539024,0.006641760745692782,160.50527047628213,167.23208122380956,1,0
2,0.06666666666666667,,0,0,2.2057052017428296,1.9248991204629315,0.006738478515000423,0.011489341964671551,161.97538692234005,167.5964098477155,1,0
3,0.1,,0,0,2.216268299239471,1.9352150580770524,0.010563097496641305,0.010315937614120863,163.40055192743736,167.36291445480424,1,0
4,0.13333333333333333,,0,0,2.2309279832512177,1.9467176851202261,0.014659684011746776,0.01150262704317373,165.40559947384682,167.2667261448523,1,0
5,0.16666666666666666,,0,0,2.2467908289780736,1.9585030226371818,0.015862845726855923,0.011785337516955652,167.33279108601562,167.04865448721267,1,0
6,0.2,,0,0,2.2628698649634686,1.9688375091341181,0.016079035985395063,0.010334486496936357,170.1209789048316,166.72719139129677,1,0
7,0.23333333333333334,,0,0,2.279840894558678,1.9806460078187644,0.01697102959520924,0.011808498684646285,172.9924330368396,166.9051664528027,1,0
8,0.26666666666666666,,0,0,2.2934620518406965,1.988567817738085,0.013621157282018626,0.007921809919320566,173.80704104277868,167.1413199390415,1,0
9,0.3,,0,0,2.304788849807531,1.99418829683344,0.011326797966834334,0.005620479095354902,174.5498226278975,167.24195928563358,1,0
10,0.3333333333333333,,0,0,2.3126537852437306,1.9970135329502634,0.007864935436199705,0.002825236116823504,174.2741587085987,167.1137730983586,1,0
11,0.36666666666666664,,0,0,2.317746487919969,1.9994308536490166,0.005092702676238403,0.0024173206987532225,173.96723294468745,167.58329982094597,1,0
12,0.4,,0,0,2.3208229252543844,2.0022857119542343,0.003076437334415427,0.0028548583052177,173.7322417046121,168.21514623226938,1,0
13,0.43333333333333335,,0,0,2.3223185869666327,2.005376982399461,0.0014956617122483529,0.0030912704452266127,173.20941469784114,168.98495281029662,1,0
14,0.4666666666666667,,0,0,2.322540678884529,2.0054304276410684,0.00022209191789634986,5.3445241607441574e-05,172.73841851750504,169.69855232132807,1,0
15,0.5,,0,0,2.3234135815610135,2.0049838374265527,0.0008729026764844328,-0.00044659021451565195,172.0350118484494,169.60813764145482,1,0
16,0.5333333333333333,,0,0,2.323837499802126,2.002952769386666,0.00042391824111254195,-0.00203106803988673,171.7578080645305,170.01585615538508,1,0
17,0.5666666666666667,,0,0,2.3220099332283657,2.001178872559655,-0.0018275665737603752,-0.0017738968270109012,168.92363539548273,170.24871182401876,1,0
18,0.6,,0,0,2.319478181660683,1.998880898924913,-0.002531751567682594,-0.0022979736347421564,167.1272403556457,170.4096604276435,1,0
19,0.6333333333333333,,0,0,2.317034555900044,1.9979602847505968,-0.0024436257606392786,-0.0009206141743161034,166.14604826761536,170.5669730444467,1,0
20,0.6666666666666666,,0,0,2.31465412195842,1.9979214302084278,-0.002380433941624016,-3.8854542169008965e-05,165.04114108138506,170.58021383467235,1,0
21,0.7,,0,0,2.3119484326695523,1.998145753531737,-0.0027056892888674966,0.000224323323309239,164.2453657819918,170.5870186387346,1,0
22,0.7333333333333333,,0,0,2.309555362690473,1.9996574654486285,-0.0023930699790795096,0.0015117119168914783,164.19005532875178,170.70466055945835,1,0
23,0.7666666666666667,,0,0,2.307861632892232,2.0025427909505953,-0.001693729798240895,0.00288532550196674,163.81757997842726,170.89495474896498,1,0
24,0.8,,0,0,2.30720957983264,2.0060111671470597,-0.0006520530595919283,0.003468376196464451,163.6712636114829,170.1400862388733,1,0
25,0.8333333333333334,,0,0,2.3084266203770016,2.010234294738332,0.0012170405443616694,0.004223127591272302,163.5132463997862,169.92098529375707,1,0
26,0.8666666666666667,,0,0,2.310190636474614,2.011686222996176,0.001764016097612231,0.001451928257843793,163.58997858044947,169.10533940685025,1,0
27,0.9,,0,0,2.3125608952825636,2.014393048257398,0.002370258807949721,0.0027068252612223453,163.82915160613382,168.84016715344097,1,0
28,0.9333333333333333,,0,0,2.3146648737724975,2.0173186021601492,0.002103978489933933,0.0029255539027510657,164.08885091154866,168.6158506017085,1,0
29,0.9666666666666667,,0,0,2.3166443776817323,2.021386265897346,0.0019795039092347366,0.004067663737196803,164.0341184927483,168.4527421308173,1,0
30,1.0,,0,0,2.3184547601667385,2.0256130096814964,0.0018103824850062011,0.004226743784150333,163.98031069468226,168.3507384867913,1,0
31,1.0333333333333334,,0,0,2.3205610245300896,2.0291369522768723,0.0021062643633511513,0.0035239425953759174,163.9476360686294,168.24161176422206,1,0
32,1.0666666666666667,,0,0,2.3228884060904815,2.031587918146346,0.002327381560391917,0.002450965869473798,164.19387891880663,168.23094149088638,1,0
33,1.1,,0,0,2.326299934570737,2.033088548904428,0.003411528480255388,0.0015006307580818223,164.31539960509926,168.21614954701695,1,0
34,1.1333333333333333,,0,0,2.32982337154447,2.0339786385974405,0.0035234369737331406,0.0008900896930126301,164.47519884156472,168.1976018354514,1,0
35,1.1666666666666667,,0,0,2.3337683981277033,2.0351010474371414,0.003945026583233258,0.001122408839700828,165.06298678029276,168.1129482492102,1,0
36,1.2,,0,0,2.3370312821020782,2.035448282297975,0.0032628839743749083,0.00034723486083354516,165.38771980699744,167.88128561544713,1,0
37,1.2333333333333334,,0,0,2.3396774297747402,2.0358561005628277,0.0026461476726620248,0.0004078182648528106,165.6658579466789,167.83193242304864,1,0
38,1.2666666666666666,,0,0,2.3416748322878176,2.0365945230093434,0.00199740251307734,0.0007384224465156741,165.91504551185386,167.80414454033598,1,0
39,1.3,,0,0,2.343227058603868,2.036989164005883,0.0015522263160505645,0.0003946409965394082,166.07189306215477,167.8455821940013,1,0
40,1.3333333333333333,,0,0,2.3460244303071445,2.0395304595889496,0.002797371703276319,0.002541295583066816,166.04663262254272,168.0869961041632,1,0
41,1.3666666666666667,,0,0,2.349324747829094,2.0426604458182602,0.0033003175219494807,0.0031299862293105996,166.0231418314888,168.07788385216554,1,0
42,1.4,,0,0,2.35308659363487,2.046616806280979,0.0037618458057759874,0.003956360462718855,165.71136645776966,168.1662863751851,1,0
43,1.4333333333333333,,0,0,2.3566390764192935,2.0509210770067754,0.0035524827844235496,0.004304270725796311,165.39178148782742,168.17086686513133,1,0
44,1.4666666666666666,,0,0,2.359672008148414,2.055208411369063,0.0030329317291206692,0.004287334362287787,165.34964786133068,168.18872248045167,1,0
45,1.5,,0,0,2.3614249168138017,2.058305020622194,0.0017529086653875758,0.003096609253130822,165.4508548851886,168.1878215603807,1,0
46,1.5333333333333334,,0,0,2.362930323521614,2.061327813309501,0.0015054067078121847,0.0030227926873069855,165.464265170767,168.1705336796378,1,0
47,1.5666666666666667,,0,0,2.3635432311214593,2.0634579783403724,0.0006129075998453359,0.002130165030871378,165.51027308908547,168.07403264110354,1,0
48,1.6,,0,0,2.3633876235112465,2.064827105003411,-0.00015560761021271574,0.0013691266630386778,165.5276859421448,167.9277673797575,1,0
49,1.6333333333333333,,0,0,2.3625514663674427,2.0654270663371297,-0.0008361571438038062,0.000599961333718646,165.54109756544554,167.79690437175714,1,0
50,1.6666666666666667,,0,0,2.360719789149988,2.065235584804552,-0.001831677217454697,-0.00019148153257786404,165.57368616141935,167.68177569556687,1,0
51,1.7,,0,0,2.357871658389041,2.0643885476706902,-0.002848130760947143,-0.0008470371338615834,165.5727677658166,167.66974371342593,1,0
