frame,time_s,violations,L_is_punch,R_is_punch,L_dist_norm_ema,R_dist_norm_ema,L_vel,R_vel,scale,waist_y,scale_src,reasons
0,0.0,,0,0,0.6005103261814938,0.6768946154860199,,,475.2676086425781,1141.33349609375,torso,
1,0.03333333333333333,,0,0,0.6008319370062902,0.6704644200302088,0.00032161082479642555,-0.0064301954558111385,477.5231628417969,1142.2775573730469,torso,
2,0.06666666666666667,,0,0,0.6105950300020201,0.6579725176676449,0.00976309299572986,-0.012491902362563923,485.5482864379883,1148.6353225708008,torso,
3,0.1,,0,0,0.580085815653313,0.6350205950208522,-0.030509214348707125,-0.02295192264679269,494.1931972503662,1155.042776107788,torso,
4,0.13333333333333333,,0,0,0.5520044400079804,0.6444253566909609,-0.02808137564533253,0.00940476167010873,501.4981999397278,1160.3570942878723,torso,
5,0.16666666666666666,,0,0,0.5243219361769265,0.6522061538290902,-0.027682503831053973,0.007780797138129292,508.11379277706146,1165.2523177862167,torso,
6,0.2,,0,0,0.5065688952770319,0.6591225491120011,-0.0177530408998946,0.006916395282910881,513.3051779568195,1168.853911191225,torso,
7,0.23333333333333334,,0,0,0.5191224473786886,0.6720805959244782,0.012553552101656762,0.012958046812477142,516.8275162801147,1171.2089758738875,torso,
8,0.26666666666666666,,0,0,0.5472338288585414,0.6862608325496131,0.028111381479852815,0.014180236625134901,519.0272839386016,1172.7017758507282,torso,
9,0.3,,0,0,0.5515935232447936,0.7012661838682704,0.004359694386252166,0.015005351318657323,518.9930123924278,1173.6194715364836,torso,
10,0.3333333333333333,,0,0,0.5538186951126277,0.7072566639703848,0.002225171867834108,0.005990480102114337,518.566826555063,1175.0935099023627,torso,
11,0.36666666666666664,,0,0,0.5594953224490835,0.7096536220426517,0.005676627336455797,0.0023969580722669193,518.3861337102426,1178.6394073291158,torso,
12,0.4,,0,0,0.5984747445744418,0.7413263787030433,0.03897942212535832,0.0316727566603916,516.951724916471,1181.225954422618,torso,
13,0.43333333333333335,,0,0,0.6428210063368672,1.005677365852469,0.0443462617624254,0.2643509871494256,518.1512173934079,1186.0999467739948,torso,
14,0.4666666666666667,,0,0,0.7069390329524582,1.1656685947544543,0.06411802661559096,0.15999122890198536,519.7066442462278,1191.045419064871,torso,
15,0.5,,0,0,0.9206131752740812,1.3090249408723054,0.21367414232162296,0.14335634611785109,446.03354611191696,1122.039804273629,upper,
16,0.5333333333333333,,0,0,1.156460471936797,1.2434432171788847,0.23584729666271587,-0.06558172369342063,388.1333672865744,1066.6913198037325,upper,
17,0.5666666666666667,GuardAway(R),1,0,1.2981304720650593,1.2038973674406768,0.14167000012826225,-0.03954584973820796,345.9107745188859,1026.1227701338662,upper,
18,0.6,ElbowBent(L);GuardAway(R),1,0,1.3190406824953602,1.2008088842232125,0.020910210430300946,-0.003088483217464244,316.963979937016,999.6686805361907,upper,
19,0.6333333333333333,ElbowBent(L);GuardAway(R),1,0,1.212091818716689,1.2077611324883257,-0.1069488637786713,0.006952248265113203,301.40902392370924,986.7802680696846,upper,
20,0.6666666666666666,ElbowBent(L);GuardAway(R),1,0,1.0385524247889104,1.2363286641582654,-0.1735393939277785,0.02856753166993964,289.9314017318444,979.5316793237478,upper,
21,0.7,ElbowBent(L),1,0,0.9697599174465616,1.036819031968239,-0.06879250734234876,-0.19950963219002626,272.82519161870755,964.1656612719855,upper,
22,0.7333333333333333,ElbowBent(L),1,0,0.9302012917337235,0.9458969487470678,-0.03955862571283819,-0.09092208322117135,249.68900022037832,944.0121583227636,upper,
23,0.7666666666666667,ElbowBent(L),1,0,0.9108960496196251,1.1428776155492453,-0.019305242114098342,0.19698066680217752,225.53403455859427,919.1824431362988,upper,
24,0.8,ElbowBent(L);GuardAway(R),1,0,0.9454783198026417,1.4625403378854402,0.03458227018301663,0.31966272233619497,208.31631266210977,902.8581374364526,upper,
25,0.8333333333333334,ElbowBent(L);GuardAway(R),1,0,0.9932734205850219,1.606831924679219,0.04779510078238014,0.14429158679377885,198.23421325634794,892.0583476452105,upper,
26,0.8666666666666667,ElbowBent(L);GuardAway(R),1,0,1.0018679849396461,1.4907112199829398,0.008594564354624246,-0.11612070469627933,192.7886016842043,885.5098410180266,upper,
27,0.9,ElbowBent(L);GuardAway(R),1,0,0.9806394257091373,1.3290784185751077,-0.021228559230508814,-0.1616328014078321,188.722379302704,879.266913310517,upper,
28,0.9333333333333333,ElbowBent(L);GuardAway(R),1,0,0.9717849927739692,1.2414389791554366,-0.008854432935168077,-0.08763943941967112,190.43409175852216,879.1852399526754,upper,
29,0.9666666666666667,ElbowBent(L);GuardAway(R),1,0,0.9875226788154942,1.2542738700033293,0.015737686041524923,0.0128348908478928,194.33975567802247,882.1407524361252,upper,
30,1.0,ElbowBent(L);GuardAway(R),1,0,0.988962418946713,1.4026722757308356,0.0014397401312188363,0.1483984057275063,204.30138276803834,893.1298126409977,upper,
31,1.0333333333333334,ElbowBent(L);GuardAway(R),1,0,0.9715001240393575,1.4654990300514017,-0.017462294907355513,0.06282675432056606,214.37143426230804,901.4676748417712,upper,
32,1.0666666666666667,GuardAway(R),1,0,1.1446458705352842,1.4712072614840288,0.17314574649592673,0.005708231432627109,221.9886052987818,906.2808331119192,upper,
33,1.1,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0789127421976068,1.433447648366065,-0.06573312833767742,-0.03775961311796383,225.88647350533637,908.6843736132363,upper,
34,1.1333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,0.9924786258639925,1.3740556510473259,-0.08643411633361431,-0.05939199731873912,227.3952971761214,909.6821272939726,upper,
35,1.1666666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0198271568643236,1.350948464553377,0.027348531000331078,-0.02310718649394894,219.38973841553832,901.419552356771,upper,
