frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span_ema,R_wrist_mouth_span_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg
0,0.0,,0,0,2.19680488918129,1.9067680177525672,0.0,0.0,161.0415473480313,167.0143840820823
1,0.03333333333333333,,0,0,2.1998314568464448,1.916066482796537,0.0030265676651546336,0.009298465043969806,160.50527047628213,167.23208122380956
2,0.06666666666666667,,0,0,2.20896267000093,1.9312217150426805,0.009131213154485174,0.015155232246143457,161.97538692234005,167.5964098477155
3,0.1,,0,0,2.2226108926058927,1.9434511195995376,0.01364822260496279,0.01222940455685717,163.40055192743736,167.36291445480424
4,0.13333333333333333,,0,0,2.2409145425440906,1.9566721759271108,0.018303649938197886,0.0132210563275732,165.40559947384682,167.2667261448523
5,0.16666666666666666,,0,0,2.259627230809184,1.9696875766684392,0.018712688265093202,0.013015400741328342,167.33279108601562,167.04865448721267
6,0.2,,0,0,2.277645140547848,1.9802412638532099,0.01801790973866435,0.010553687184770677,170.1209789048316,166.72719139129677
7,0.23333333333333334,,0,0,2.2962332355266084,1.9927818478600328,0.01858809497876024,0.012540584006822897,172.9924330368396,166.9051664528027
8,0.26666666666666666,,0,0,2.309565536382659,1.9996248377326378,0.013332300856050416,0.00684298987260501,173.80704104277868,167.1413199390415
9,0.3,,0,0,2.3197868339465404,2.003623551468041,0.01022129756388157,0.003998713735403392,174.5498226278975,167.24195928563358
10,0.3333333333333333,,0,0,2.3255484491085667,2.0042765429094835,0.0057616151620263345,0.0006529914414423743,174.2741587085987,167.1137730983586
11,0.36666666666666664,,0,0,2.328165100502608,2.005118738402011,0.002616651394041103,0.0008421954925275088,173.96723294468745,167.58329982094597
12,0.4,,0,0,2.3288255983668655,2.0071247803657677,0.0006604978642577031,0.002006041963756644,173.7322417046121,168.21514623226938
13,0.43333333333333335,,0,0,2.3281185891746445,2.0097588850450485,-0.0007070091922209976,0.0026341046792808243,173.20941469784114,168.98495281029662
14,0.4666666666666667,,0,0,2.3263995170868954,2.0083000424573436,-0.0017190720877491295,-0.0014588425877049005,172.73841851750504,169.69855232132807
15,0.5,,0,0,2.3262709874631455,2.0066704509713253,-0.00012852962374987342,-0.001629591486018267,172.0350118484494,169.60813764145482
16,0.5333333333333333,,0,0,2.3258643809349566,2.0032366409748135,-0.0004066065281889131,-0.003433809996511883,171.7578080645305,170.01585615538508
17,0.5666666666666667,,0,0,2.3225963793352014,2.0006538303611463,-0.003268001599755266,-0.0025828106136671636,168.92363539548273,170.24871182401876
18,0.6,,0,0,2.318846671003053,1.9976204320419853,-0.0037497083321484936,-0.0030333983191610514,167.1272403556457,170.4096604276435
19,0.6333333333333333,,0,0,2.315646623668328,1.9967727356069673,-0.003200047334724676,-0.0008476964350179195,166.14604826761536,170.5669730444467
20,0.6666666666666666,,0,0,2.3127997924311554,1.9971339814482014,-0.0028468312371727755,0.0003612458412340924,165.04114108138506,170.58021383467235
21,0.7,,0,0,2.309660842761283,1.9977236411669135,-0.0031389496698723818,0.0005896597187120545,164.2453657819918,170.5870186387346
22,0.7333333333333333,,0,0,2.307111201258466,1.9999877771782497,-0.0025496415028172237,0.0022641360113362374,164.19005532875178,170.70466055945835
23,0.7666666666666667,,0,0,2.3055954360421307,2.0039116237756356,-0.0015157652163351187,0.003923846597385872,163.81757997842726,170.89495474896498
24,0.8,,0,0,2.3054757306562372,2.008288258961922,-0.00011970538589345381,0.004376635186286393,163.6712636114829,170.1400862388733
25,0.8333333333333334,,0,0,2.307786434630085,2.0134036554545016,0.002310703973847694,0.005115396492579638,163.5132463997862,169.92098529375707
26,0.8666666666666667,,0,0,2.310480122178163,2.0143270787648238,0.002693687548077861,0.0009234233103221356,163.58997858044947,169.10533940685025
27,0.9,,0,0,2.31369716451305,2.0171923346115084,0.003217042334887399,0.0028652558466846223,163.82915160613382,168.84016715344097
28,0.9333333333333333,,0,0,2.3162450401682873,2.0203083598514215,0.002547875655237064,0.003116025239913167,164.08885091154866,168.6158506017085
29,0.9666666666666667,,0,0,2.3184632874026896,2.0249566738915514,0.0022182472344023374,0.004648314040129886,164.0341184927483,168.4527421308173
30,1.0,,0,0,2.3203612044793633,2.02962447239139,0.0018979170766737496,0.004667798499838671,163.98031069468226,168.3507384867913
31,1.0333333333333334,,0,0,2.3226427190786367,2.0331539800764538,0.002281514599273393,0.0035295076850636597,163.9476360686294,168.24161176422206
32,1.0666666666666667,,0,0,2.325172460171194,2.0351793725638636,0.002529741092557103,0.0020253924874098495,164.19387891880663,168.23094149088638
33,1.1,,0,0,2.3291491811153016,2.0360232465790475,0.003976720944107726,0.0008438740151839319,164.31539960509926,168.21614954701695
34,1.1333333333333333,,0,0,2.3330847565879305,2.0362422279631485,0.003935575472628905,0.00021898138410092471,164.47519884156472,168.1976018354514
