frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
10,0.3333333333333333,23.02623638127706,28.328472265976746,299.76275634765625,399.8414001464844,107.56184745499282,24.602467918137325,120.84686279296875,190.68283081054688,8770.639623562041,594.4686484761352,995.8763122558594,1178.6407470703125,157.25587563378906,184.30569558007812,1.906210214019165,2.1694467926671273
11,0.36666666666666664,28.365799021262447,29.451146395647665,306.68829345703125,403.33209228515625,548.620517745002,49.30255440124714,283.7091064453125,278.4590148925781,10385.970929140825,4558.559325812788,-1207.8231811523438,28440.541076660156,176.06999306542968,190.33055214746093,1.7418544075426996,2.1191137614767688
12,0.4,59.60093756427719,31.61530922605989,318.3266906738281,418.7553405761719,799.9599093977146,328.5064229723232,2016.8829345703125,110.16128540039062,299.8469415583014,10130.87985154405,-3765.886688232422,40245.3987121582,206.08827309472656,201.31219582421875,1.5446133149338013,2.080129019812687
13,0.43333333333333335,81.69645964777675,51.351574593802546,314.0323791503906,537.7909545898438,568.6103138488887,724.6945445041838,2966.7356872558594,27.39990234375,-2342.4256218406895,5794.098100312081,11129.541778564453,-4010.11962890625,229.90264992578125,293.7094431386719,1.3659363180536142,1.8310305206493867
14,0.4666666666666667,97.50829182086977,79.92827885967215,320.1533508300781,616.5377197265625,643.7982012750019,714.7796296597953,1749.5416259765625,852.1307373046875,879.8786848231043,-11176.609618604047,23527.537536621094,-47925.87203979492,263.4621897207031,362.1784372792969,1.2151775978536936,1.7023037714724976
15,0.5,124.61633973277688,99.00354990445557,370.8410949707031,654.4270629882812,627.2688928370957,-20.412763402752603,-228.32244873046875,1595.9024047851562,-5298.971264061993,-18920.774136991324,5051.953125,-49602.21405029297,335.2068796621094,402.7133493886719,1.1063051430940596,1.625044374569943
16,0.5333333333333333,139.32621801000948,78.56742796615531,426.5468444824219,601.3162231445312,290.5334503375357,-546.6053128062929,-1557.2726440429688,1188.9276123046875,-8641.0208956137,-5457.1930621376405,-21676.437377929688,-16800.492095947266,398.720459984375,360.3833322988281,1.0697892064508987,1.668546154198726
17,0.5666666666666667,143.98523642194593,62.563195717369375,450.1029357910156,550.60888671875,51.200833129515786,-384.22563421192865,-1348.3552551269531,150.80657958984375,-7201.518910394433,4845.8342847115655,-32093.11752319336,8029.632568359375,424.4050608144531,320.18145851953125,1.0605503500058342,1.7196776142649826
18,0.6,142.73960688531054,52.95238568536006,436.6006164550781,511.4258728027344,-189.56781035542647,-223.54969382552184,-1021.9638061523438,-950.6135559082031,-9631.250912091687,3853.884903279058,-28593.628692626953,9622.663879394531,414.2768259511719,292.18133644921875,1.0538861676673592,1.7503714611546395
19,0.6333333333333333,131.34738239825083,47.65988279566792,386.72869873046875,482.47796630859375,-590.88256100993,-127.29997399332476,-706.8443298339844,-1755.4353332519531,-5569.1817145464765,3075.7330287420577,-9075.977325439453,-7844.554138183594,372.0705881582031,271.3197336660156,1.0393960475210502,1.7782634524568197
