frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span,R_wrist_mouth_span,L_elbow_deg,R_elbow_deg
0,0.0,ElbowBent(R);GuardAway(R),0,1,0.9092232097403213,1.0248754569494798,39.47025346710517,32.76095234731726
1,0.03333333333333333,ElbowBent(R);GuardAway(R),0,1,0.8767805257143434,0.9600129203932487,37.27042241591128,31.712435526193392
2,0.06666666666666667,GuardAway(L);GuardAway(R),0,0,0.9009120238758371,0.9095765524269133,41.983380727354316,30.932226250533503
3,0.1,GuardAway(L);GuardAway(R),0,0,0.7564282739978526,0.8560998303140872,32.057825992204705,27.973819189952703
4,0.13333333333333333,ElbowBent(R);GuardAway(R),0,1,0.7530542702554011,0.9971727469979701,39.54210793689833,25.985013871944847
5,0.16666666666666666,ElbowBent(R);GuardAway(R),0,1,0.7275005575939197,1.0255464026195464,36.99492347762727,25.716011816220426
6,0.2,ElbowBent(R);GuardAway(R),0,1,0.7527780087748046,1.0680812962306891,37.06586352836224,25.709391933605882
7,0.23333333333333334,ElbowBent(R);GuardAway(R),0,1,0.878345267539292,1.1272406879193806,24.91252353664367,27.70592903752532
8,0.26666666666666666,ElbowBent(R);GuardAway(R),0,1,0.9436752891307708,1.1218104496275592,18.590814775894827,28.422789668488974
9,0.3,ElbowBent(R);GuardAway(R),0,1,0.8943013112574202,1.1650462221500684,11.155915018028953,28.217624167668493
10,0.3333333333333333,ElbowBent(R);GuardAway(R),0,1,0.9495711873785181,1.222606476018507,30.69780113185517,29.602262468042134
11,0.36666666666666664,ElbowBent(L);ElbowBent(R),1,1,1.0923862067929244,1.3684685658304347,54.67568958274361,32.00196610029357
12,0.4,ElbowBent(L);ElbowBent(R),1,1,1.1337926129906732,1.3522852789720061,125.98533179638589,37.82271284576373
13,0.43333333333333335,ElbowBent(L);ElbowBent(R),1,1,1.1760839690762486,2.427188854294079,120.10015409204753,147.51931818261312
14,0.4666666666666667,ElbowBent(L);ElbowBent(R),1,1,1.3164177216014261,2.3312513902866563,128.9794761194061,144.506281940604
15,0.5,ElbowBent(R),1,1,1.7012042534028442,2.0341289359671704,167.35030769112169,127.3219872620675
16,0.5333333333333333,ElbowBent(R),1,1,1.790837761129258,1.2597916390844737,163.0891112335655,49.29373278508405
17,0.5666666666666667,ElbowBent(L);ElbowBent(R),1,1,1.5900982960379038,1.1513566226828198,153.36749829972308,40.852751868985465
18,0.6,ElbowBent(L);ElbowBent(R),1,1,1.35172064059039,1.1896575817449984,138.94981517749633,38.69800913885176
19,0.6333333333333333,ElbowBent(L);ElbowBent(R),1,1,1.0010743191387121,1.20573951650843,98.15913960598326,39.04926216512663
20,0.6666666666666666,ElbowBent(R);GuardAway(R),0,1,0.7095051625522575,1.277213984623706,41.87927809369087,37.40664936778871
21,0.7,ElbowBent(L);GuardAway(L),1,0,0.9817940015480341,0.7769223259523441,68.265973815444,59.59946057635354
22,0.7333333333333333,ElbowBent(L);ElbowBent(R),1,1,1.360358916194133,1.233818161238958,58.61999561625292,102.20685879573472
23,0.7666666666666667,ElbowBent(L),1,1,1.7016313532276746,2.9338534577607494,72.72443939489771,171.33233524387063
24,0.8,ElbowBent(L),1,1,2.0141313930790585,4.10165982314553,92.85210167492575,173.3943731066465
25,0.8333333333333334,ElbowBent(L),1,1,2.090080045226996,3.621401859341051,103.97458114363529,163.93705512680842
26,0.8666666666666667,ElbowBent(L);ElbowBent(R),1,1,1.6057940075878667,2.011615536247157,95.10248597906461,136.18820757883367
27,0.9,ElbowBent(L);ElbowBent(R),1,1,1.545812576892584,1.6898281494155032,68.41423645133452,90.82378649513998
28,0.9333333333333333,ElbowBent(L);ElbowBent(R),1,1,1.2997170213227431,1.4675165365111404,44.24539160102986,69.11889093466236
29,0.9666666666666667,ElbowBent(L);ElbowBent(R),1,1,1.0746734733128818,1.3509233072295228,51.818667692453374,53.05982407632771
30,1.0,ElbowBent(R);GuardAway(R),0,1,0.8510682267985211,1.4403686132060936,32.25094296551886,43.20524360921537
31,1.0333333333333334,ElbowBent(R);GuardAway(R),0,1,0.7725403917973225,1.3016022976647543,139.4251708090886,42.33815847841169
32,1.0666666666666667,ElbowBent(R),1,1,1.2105924247739852,1.2234777633086251,170.02358059660912,36.562587418164256
