frame,time_s,violations,L_is_punch,R_is_punch,L_dist_torso_ema,R_dist_torso_ema,L_vel,R_vel,L_elbow_deg,R_elbow_deg
0,0.0,,0,0,0.18650424017862358,0.34401756858307514,,,91.71954416115884,34.66981461945486
1,0.03333333333333333,,0,0,0.21622553028613334,0.35940618321607654,0.029721290107509762,0.015388614633001396,71.26004139846341,52.650910089172925
2,0.06666666666666667,,0,0,0.23784563845188214,0.3569438279421191,0.021620108165748803,-0.0024623552739574395,65.65485952701276,24.36237062131376
3,0.1,,0,0,0.2618168854445512,0.35860571958719684,0.023971246992669032,0.00166189164507774,74.12159389377952,27.143332851171827
4,0.13333333333333333,,0,0,0.29247624504767245,0.3925018256846975,0.030659359603121272,0.033896106097500656,91.3147338357515,101.89979702106105
5,0.16666666666666666,,0,0,0.326258033724732,0.4072356474171944,0.033781788677059554,0.014733821732496932,102.9283891626044,111.36166500108712
6,0.2,,0,0,0.33351665607527475,0.3998419818718371,0.007258622350542754,-0.007393665545357309,83.72478812774426,97.9881922249801
7,0.23333333333333334,,0,0,0.33326822425828584,0.37292920860847245,-0.00024843181698891437,-0.026912773263364664,73.81411818573966,85.30788008828641
8,0.26666666666666666,,0,0,0.3194012628501617,0.3412854608492298,-0.013866961408124157,-0.03164374775924267,81.71962385137009,90.05622737358249
9,0.3,,0,0,0.29145189653279047,0.3185107270934059,-0.027949366317371216,-0.022774733755823895,70.63687794568075,78.5329594018238
10,0.3333333333333333,,0,0,0.25869694890697864,0.29839876374306473,-0.032754947625811826,-0.020111963350341155,94.84976993505538,122.08962474868517
11,0.36666666666666664,,0,0,0.2666356845658417,0.29674442208545027,0.00793873565886305,-0.0016543416576144665,132.5441410905594,137.41679456226288
12,0.4,,0,0,0.287306956384363,0.33660030653478973,0.020671271818521297,0.03985588444933946,133.25186129995467,149.54059511990425
13,0.43333333333333335,,0,0,0.30441805875926947,0.39694312008256516,0.017111102374906484,0.06034281354777543,136.92818574580144,157.65881360538484
14,0.4666666666666667,,0,0,0.30498061736819776,0.44145788456847984,0.0005625586089282875,0.04451476448591468,142.6195844201001,161.05320837294036
15,0.5,,0,0,0.2921398745371055,0.46190260781863485,-0.012840742831092267,0.020444723250155006,121.76045183514907,157.10421719037416
16,0.5333333333333333,,0,0,0.2761894698673576,0.4717472093054602,-0.015950404669747897,0.009844601486825366,89.00864142585078,126.95250822877013
17,0.5666666666666667,,0,0,0.25166570816920897,0.45536611363430823,-0.024523761698148627,-0.01638109567115198,72.28357313088175,77.99344080592677
18,0.6,,0,0,0.2615432901094324,0.4471649963502964,0.009877581940223423,-0.00820111728401185,56.71297369185003,70.8971444052466
19,0.6333333333333333,,0,0,0.28064304410370644,0.4673176300324793,0.01909975399427405,0.020152633682182897,50.21637241834073,72.94895522794316
20,0.6666666666666666,,0,0,0.3053285430134419,0.5274214089835253,0.02468549890973548,0.060103778951046016,45.671620900045475,166.31980570022063
