frame,time_s,violations,L_is_punch,R_is_punch,L_wrist_mouth_span,R_wrist_mouth_span,L_elbow_deg,R_elbow_deg
0,0.0,,1,1,2.19680488918129,1.9067680177525672,161.0415473480313,167.0143840820823
1,0.03333333333333333,,1,1,2.2054522253674467,1.933335060735338,160.50527047628213,167.23208122380956
2,0.06666666666666667,,1,1,2.225920637287831,1.9593671463569466,161.97538692234005,167.5964098477155
3,0.1,,1,1,2.2479575917293944,1.9661628709194152,163.40055192743736,167.36291445480424
4,0.13333333333333333,,1,1,2.2749070352864575,1.9812255662497469,165.40559947384682,167.2667261448523
5,0.16666666666666666,,1,1,2.2943793661586422,1.993859035188049,167.33279108601562,167.04865448721267
6,0.2,,1,1,2.3111069729196534,1.999840968624927,170.1209789048316,166.72719139129677
7,0.23333333333333334,,1,1,2.330753983344306,2.0160715038727037,172.9924330368396,166.9051664528027
8,0.26666666666666666,,1,1,2.334325523686752,2.012333247496047,173.80704104277868,167.1413199390415
9,0.3,,1,1,2.3387692437080343,2.011049734119504,174.5498226278975,167.24195928563358
10,0.3333333333333333,,1,1,2.3362485915523297,2.0054892413007344,174.2741587085987,167.1137730983586
11,0.36666666666666664,,1,1,2.3330245959486837,2.0066828157452763,173.96723294468745,167.58329982094597
12,0.4,,1,1,2.33005223725763,2.0108502868698874,173.7322417046121,168.21514623226938
13,0.43333333333333335,,1,1,2.3268055721033774,2.014650793735141,173.20941469784114,168.98495281029662
14,0.4666666666666667,,1,1,2.323206954638218,2.0055907633658916,172.73841851750504,169.69855232132807
15,0.5,,1,1,2.326032289590467,2.0036440667830058,172.0350118484494,169.60813764145482
16,0.5333333333333333,,1,1,2.3251092545254632,1.9968595652670054,171.7578080645305,170.01585615538508
17,0.5666666666666667,,1,1,2.316527233507085,1.9958571820786217,168.92363539548273,170.24871182401876
18,0.6,,1,1,2.311882926957634,1.991986978020686,167.1272403556457,170.4096604276435
19,0.6333333333333333,,1,1,2.309703678618125,1.995198442227648,166.14604826761536,170.5669730444467
20,0.6666666666666666,,1,1,2.307512820133548,1.9978048665819217,165.04114108138506,170.58021383467235
21,0.7,,1,1,2.303831364802949,1.9988187235016648,164.2453657819918,170.5870186387346
22,0.7333333333333333,,1,1,2.3023761527532343,2.004192601199303,164.19005532875178,170.70466055945835
23,0.7666666666666667,,1,1,2.3027804434975088,2.0111987674564946,163.81757997842726,170.89495474896498
24,0.8,,1,1,2.3052534206538637,2.0164162957364535,163.6712636114829,170.1400862388733
25,0.8333333333333334,,1,1,2.312077742010087,2.0229036775121494,163.5132463997862,169.92098529375707
26,0.8666666666666667,,1,1,2.31548268476745,2.0160420077697077,163.58997858044947,169.10533940685025
27,0.9,,1,1,2.3196716717064123,2.0225135240410657,163.82915160613382,168.84016715344097
28,0.9333333333333333,,1,1,2.3209768092422993,2.026095263868403,164.08885091154866,168.6158506017085
29,0.9666666666666667,,1,1,2.322582889409436,2.0335892571089356,164.0341184927483,168.4527421308173
30,1.0,,1,1,2.323885907621758,2.038293241033947,163.98031069468226,168.3507384867913
31,1.0333333333333334,,1,1,2.326879817620144,2.0397087800630005,163.9476360686294,168.24161176422206
32,1.0666666666666667,,1,1,2.3298705507716573,2.038940815754767,164.19387891880663,168.23094149088638
33,1.1,,1,1,2.336534520011502,2.0375904411786747,164.31539960509926,168.21614954701695
34,1.1333333333333333,,1,1,2.3403936824656704,2.0366489076764784,164.47519884156472,168.1976018354514
35,1.1666666666666667,,1,1,2.345603477877402,2.038468273956245,165.06298678029276,168.1129482492102
36,1.2,,1,1,2.3468199340252034,2.036489986880475,165.38771980699744,167.88128561544713
37,1.2333333333333334,,1,1,2.3476158727927268,2.037079555357386,165.6658579466789,167.83193242304864
38,1.2666666666666666,,1,1,2.3476670398270487,2.0388097903488918,165.91504551185386,167.80414454033598
39,1.3,,1,1,2.3478837375520194,2.038173086995501,166.07189306215477,167.8455821940013
40,1.3333333333333333,,1,1,2.354416545416973,2.0471543463381505,166.04663262254272,168.0869961041632
41,1.3666666666666667,,1,1,2.3592257003949433,2.0520504045061916,166.0231418314888,168.07788385216554
42,1.4,,1,1,2.364372131052198,2.0584858876691356,165.71136645776966,168.1662863751851
43,1.4333333333333333,,1,1,2.367296524772565,2.063833889184164,165.39178148782742,168.17086686513133
44,1.4666666666666666,,1,1,2.3687708033357766,2.0680704144559265,165.34964786133068,168.18872248045167
45,1.5,,1,1,2.3666836428099645,2.0675948483815874,165.4508548851886,168.1878215603807
46,1.5333333333333334,,1,1,2.3674465436450496,2.0703961913714233,165.464265170767,168.1705336796378
47,1.5666666666666667,,1,1,2.3653819539209944,2.0698484734329865,165.51027308908547,168.07403264110354
48,1.6,,1,1,2.362920800680608,2.0689344849925266,165.5276859421448,167.9277673797575
49,1.6333333333333333,,1,1,2.3600429949360313,2.0672269503382865,165.54109756544554,167.79690437175714
50,1.6666666666666667,,1,1,2.3552247574976235,2.064661140206817,165.57368616141935,167.68177569556687
51,1.7,,1,1,2.3493272661061986,2.061847436269106,165.5727677658166,167.66974371342593
52,1.7333333333333334,,1,1,2.3438113238578997,2.0602373449876104,165.55639702730107,167.66501088966993
53,1.7666666666666666,,1,1,2.3393757216430644,2.0591381354941807,165.54659697808728,167.64459709251472
54,1.8,,1,1,2.332508779388841,2.0605704066568897,165.5612584042872,167.61870436076472
55,1.8333333333333333,,1,1,2.325575335140345,2.057256719625635,165.61775415992273,167.62287802907105
56,1.8666666666666667,,1,1,2.3226365343822337,2.0564523663096423,165.5907622945476,167.5544105319653
57,1.9,,1,1,2.3188356667397056,2.052129399020109,165.6793686085436,167.54810523835303
58,1.9333333333333333,,1,1,2.31978968441043,2.0564958601847723,165.77276640590685,167.41086447485608
59,1.9666666666666666,,1,1,2.325845440055365,2.052873702627222,165.86902051909297,166.89608025629303
60,2.0,,1,1,2.35454480836436,2.0683995887370306,165.9359419211277,166.4450139898928
61,2.033333333333333,,1,1,2.378090003069009,2.081165036470896,166.11124813407335,166.26908354918405
62,2.066666666666667,,1,1,2.42772458590232,2.1118140437230872,165.45845618843663,166.0312601714291
63,2.1,,1,1,2.4509857400091812,2.112467705572056,165.17459552471573,166.12287664288388
64,2.1333333333333333,,1,1,2.473476874044763,2.112169897045707,164.71227200688466,165.6715008226924
65,2.1666666666666665,,1,1,2.521217563512121,2.083409475087533,164.6155190244194,164.90291229211934
66,2.2,,1,1,2.5598977027978678,2.0926535585641184,164.51684863550028,164.24807022872625
67,2.2333333333333334,,1,1,2.5711517739217475,2.02139877481778,162.90854025401987,162.92424588188146
68,2.2666666666666666,,1,1,2.575032313357505,2.0115184800176706,160.068699888421,162.47930492765443
69,2.3,,1,1,2.5755300706721482,2.0055116260712142,156.36075347067737,161.34242523574838
70,2.3333333333333335,,1,1,2.5715122267043484,2.003341724272059,154.23638125216206,160.81197322528607
71,2.3666666666666667,,1,1,2.5680821395934665,2.023727120979424,152.95268552643535,161.22014376787703
72,2.4,,1,1,2.5711070711124298,2.0340234703010935,154.0081043454435,161.626386960479
73,2.433333333333333,,1,1,2.5689842794892095,2.032867646445836,154.414870245929,162.4704248062935
74,2.466666666666667,,1,1,2.5665367987834427,2.0317993743380316,154.68059463183667,163.4934264054336
75,2.5,,1,1,2.555551228592747,2.0331696141496316,153.75595608417797,163.7860929798645
76,2.533333333333333,,1,1,2.5483446141228816,2.0478984290432303,153.25007119257194,164.38978760570527
77,2.566666666666667,,1,1,2.551685786778416,2.072678163817493,154.57356113734133,164.92682086861493
78,2.6,,1,1,2.533165535006309,2.0712285477579484,155.7198947141581,164.81572725900335
79,2.6333333333333333,,1,1,2.525808737429887,2.0711565083576664,156.6578911313645,165.783303087862
80,2.6666666666666665,,1,1,2.570005527391175,2.1322938029565472,157.1625200042245,168.16044254207517
81,2.7,,1,1,2.584444345574043,2.147852104688905,158.90075919784687,169.3977414702737
82,2.7333333333333334,,1,1,2.6168498870633043,2.1775909024625246,159.71663984804857,169.7384463792634
83,2.7666666666666666,,1,1,2.666055548443154,2.241328022885602,162.71803735939267,169.8932349605122
84,2.8,,1,1,2.722940738172869,2.294025096745943,165.97526128011006,168.65116530078615
85,2.8333333333333335,,1,1,2.778899303490635,2.3149439741326234,167.1197159831274,168.50393305351378
86,2.8666666666666667,,1,1,2.839437341115737,2.348250950102616,168.19766862246254,167.96778946559573
