frame,tsec,S,elbow_L,elbow_R,wristflex_L,wristflex_R,line_off_L,line_off_R,wristdrop_L,wristdrop_R,chintuck_deg,torso_tilt_deg,reach_L,reach_R,guard_ok_L,guard_ok_R,punch_arm
44,1.4742,127.842,86.46,71.01,12.79,16.05,0.4053,0.9031,0.7469,1.0884,167.57,140.28,71.51,94.36,0,0,R
45,1.5077,121.251,87.51,60.86,10.14,1.60,0.5730,0.9451,0.3160,0.9752,169.56,137.93,127.56,80.77,0,0,L
46,1.5412,126.194,95.31,55.53,22.87,15.40,0.4610,0.9414,0.3635,0.7744,168.33,135.75,123.58,87.01,0,0,L
47,1.5747,129.954,83.45,52.88,7.44,11.55,0.4957,0.9341,0.0422,0.5862,167.70,134.74,121.41,94.88,0,0,L
48,1.6082,132.047,91.14,52.48,18.52,7.52,0.5034,0.9494,0.0276,0.4699,168.09,133.75,138.61,106.95,0,0,L
49,1.6417,133.785,94.70,49.97,5.36,6.34,0.4066,0.9448,0.1574,0.4358,167.67,133.12,127.97,102.36,0,0,L
50,1.6752,135.955,73.98,48.82,6.72,11.22,0.5322,0.9698,0.1086,0.4305,167.07,132.90,116.44,104.54,0,0,L
51,1.7087,141.451,57.56,44.61,17.59,7.94,0.4943,0.9556,0.2135,0.4381,163.97,133.44,84.76,92.26,0,0,R
52,1.7422,145.547,44.25,41.07,8.92,11.61,0.3279,0.9051,0.3922,0.4725,161.74,134.20,55.43,76.93,0,0,R
53,1.7757,140.301,45.82,37.52,9.10,15.25,0.4363,0.9345,0.3971,0.5164,163.74,134.96,58.74,65.90,0,0,R
54,1.8092,142.644,40.12,35.81,5.91,18.71,0.3327,0.9172,0.4243,0.5075,162.33,136.14,48.28,61.02,0,0,R
55,1.8427,141.805,53.18,33.97,15.52,7.63,0.3702,0.9432,0.4523,0.4909,161.51,136.64,59.82,58.69,0,0,L
56,1.8762,142.104,54.76,30.37,28.87,4.97,0.3588,1.0236,0.4591,0.3901,160.30,136.77,61.49,60.80,0,0,L
57,1.9097,148.824,50.26,28.41,33.87,13.42,0.2935,1.0125,0.4650,0.3378,155.75,137.21,54.70,59.88,0,0,R
58,1.9432,145.567,31.47,26.05,3.52,10.60,0.3652,1.0454,0.2518,0.3204,153.71,139.47,54.43,54.50,0,0,R
59,1.9768,139.979,37.83,25.03,7.49,7.54,0.6263,1.0216,0.0117,0.3742,153.15,141.00,66.90,43.91,0,0,L
60,2.0103,135.177,43.94,24.28,10.70,6.97,0.5779,1.0166,0.0467,0.4117,152.85,142.25,74.05,37.79,0,0,L
61,2.0438,123.609,36.51,23.24,6.11,9.87,0.5399,1.0915,0.1302,0.4623,156.39,142.64,64.98,33.03,0,0,L
62,2.0773,140.350,25.06,22.86,2.76,3.58,0.1874,0.9216,0.3911,0.4182,148.51,145.89,42.40,30.43,0,0,L
63,2.1108,140.301,5.12,25.44,8.79,4.12,0.0380,0.8481,0.5095,0.5046,149.76,146.00,20.27,27.81,0,0,R
64,2.1443,144.467,11.26,27.18,6.03,5.34,0.0389,0.8306,0.5658,0.5335,149.62,142.96,21.12,29.27,0,0,R
65,2.1778,129.447,39.90,29.17,10.71,5.76,0.2314,0.9822,0.6263,0.6219,163.32,134.01,39.69,34.68,0,0,L
66,2.2113,117.217,48.82,32.07,4.71,11.89,0.3253,1.1398,0.6399,0.6917,173.25,130.21,56.74,41.60,0,0,L
67,2.2448,130.726,116.74,30.89,84.42,3.18,0.2450,0.9224,0.5511,0.6099,164.73,129.72,98.48,31.27,0,0,L
68,2.2783,138.047,109.80,140.34,13.30,16.61,0.3124,0.3120,0.1119,1.7749,161.25,129.82,132.75,51.52,0,0,L
69,2.3118,140.568,129.68,133.48,4.06,26.75,0.2808,0.3163,0.1314,1.5875,159.57,129.17,176.38,47.05,0,0,L
70,2.3453,148.228,167.07,106.98,13.29,9.88,0.0951,0.4262,0.2923,1.3364,152.61,127.74,246.10,16.24,0,0,L
71,2.3788,152.822,163.40,44.95,10.73,21.52,0.1201,0.6979,0.3306,0.7256,151.80,126.49,248.60,25.31,0,0,L
72,2.4123,151.322,150.90,38.13,0.05,3.45,0.1798,0.8100,0.2181,0.6387,152.44,127.26,213.86,31.44,0,0,L
73,2.4458,139.055,138.51,37.33,12.13,1.59,0.2306,0.8027,0.2102,0.7359,161.27,128.11,172.83,17.51,0,0,L
74,2.4793,135.258,79.67,39.14,0.82,2.28,0.5053,0.8753,0.1628,0.7030,167.76,125.70,119.10,35.84,0,0,L
75,2.5128,131.633,43.96,36.88,13.13,19.04,0.7395,0.8931,0.0054,0.6302,169.20,125.63,79.55,44.91,0,0,L
76,2.5463,103.471,49.81,59.99,93.09,16.08,0.3158,1.0253,0.5355,0.4194,178.05,125.45,69.90,122.66,0,0,R
77,2.5798,81.499,68.05,114.05,30.22,15.93,0.5781,0.6503,0.4003,0.1029,179.77,127.62,68.34,167.52,0,0,R
78,2.6133,63.781,89.29,168.41,14.57,1.73,0.6449,0.1762,0.1056,0.3047,172.19,129.64,83.22,221.45,0,0,R
79,2.6468,62.198,90.87,174.47,3.92,5.19,0.6458,0.1026,0.0042,0.3795,169.36,129.05,86.09,263.31,0,0,R
80,2.6803,56.216,99.23,165.89,17.62,7.01,0.6410,0.2631,0.2428,0.2111,161.78,122.38,91.44,238.82,0,0,R
81,2.7138,72.613,92.30,141.30,31.19,7.82,0.4244,0.4898,0.1241,0.0265,168.42,123.11,86.19,202.67,0,0,R
82,2.7474,64.745,62.11,92.58,23.30,13.12,0.8628,1.2741,0.3762,0.4724,162.93,120.14,62.95,169.90,0,0,R
83,2.7809,73.481,40.28,70.34,11.28,15.61,1.2284,1.6440,0.5261,0.7639,163.56,118.01,55.90,160.93,0,0,R
